Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys  
--------  -------   --------  -----  ------  ---------  ---------  ---------  ----------
   1	   0.65	     7.70	-1	0       0.65	    0.00      8.36 	  7.70 
   2	   1.49	    10.95	-1	1       1.49	    0.00     12.44 	 10.95 
   3	   4.61	     8.79	-1	2       4.61	    0.00     13.39 	  8.79 
   7	  13.06	     2.51	-1	4      13.06	    0.00     15.57 	  2.51 
   5	  10.82	     5.62	-1	0      10.82	    0.00     16.44 	  5.62 
   6	  12.90	     5.21	-1	1      12.90	    0.00     18.11 	  5.21 
   10	  16.06	     3.26	-1	5      16.06	    0.00     19.32 	  3.26 
   4	   7.11	    14.06	-1	3       7.11	    0.00     21.17 	 14.06 
   9	  15.90	     5.44	-1	4      15.90	    0.00     21.34 	  5.44 
   14	  20.59	     0.51	0	3      21.17	    0.59     21.69 	  1.10 
   11	  18.20	     5.34	-1	0      18.20	    0.00     23.54 	  5.34 
   8	  14.64	    12.42	-1	2      14.64	    0.00     27.06 	 12.42 
   13	  19.91	    10.36	-1	5      19.91	    0.00     30.27 	 10.36 
   12	  19.86	    10.74	-1	1      19.86	    0.00     30.60 	 10.74 
   16	  21.83	    13.13	-1	4      21.83	    0.00     34.96 	 13.13 
   18	  23.98	     8.47	0	2      27.06	    3.08     35.53 	 11.55 
   15	  21.77	    16.89	-1	3      21.77	    0.00     38.66 	 16.89 
   19	  24.93	     8.92	0	5      30.27	    5.34     39.19 	 14.26 
   23	  34.92	     5.11	0	3      38.66	    3.74     43.77 	  8.85 
   20	  27.31	    13.22	0	1      30.60	    3.29     43.81 	 16.50 
   24	  35.37	     6.72	0	5      39.19	    3.81     45.90 	 10.53 
   27	  38.67	     0.71	0	5      45.90	    7.23     46.61 	  7.95 
   17	  23.93	    23.92	-1	0      23.93	    0.00     47.86 	 23.92 
   25	  36.52	     4.41	0	3      43.77	    7.25     48.18 	 11.66 
   26	  37.25	     4.49	0	1      43.81	    6.57     48.30 	 11.06 
   21	  30.16	    13.78	0	4      34.96	    4.80     48.74 	 18.58 
   32	  47.40	     2.71	0	4      48.74	    1.34     51.45 	  4.06 
   22	  32.66	    16.43	0	2      35.53	    2.87     51.96 	 19.30 
   30	  47.09	     5.01	0	3      48.18	    1.09     53.20 	  6.10 
   28	  42.37	     7.55	0	5      46.61	    4.24     54.17 	 11.79 
   36	  53.10	     0.97	0	5      54.17	    1.07     55.14 	  2.04 
   35	  51.08	     2.84	0	3      53.20	    2.12     56.04 	  4.96 
   33	  48.34	     5.67	0	4      51.45	    3.12     57.13 	  8.79 
   31	  47.30	    13.26	0	1      48.30	    1.00     61.56 	 14.26 
   34	  50.51	    11.40	0	2      51.96	    1.45     63.35 	 12.85 
   41	  64.17	     3.83	-1	2      64.17	    0.00     68.00 	  3.83 
   37	  53.86	    15.09	0	5      55.14	    1.27     70.22 	 16.36 
   38	  54.29	    14.40	0	3      56.04	    1.75     70.44 	 16.15 
   39	  58.21	    15.91	-1	4      58.21	    0.00     74.12 	 15.91 
   45	  71.12	     3.07	0	4      74.12	    3.00     77.19 	  6.07 
   40	  60.59	    16.54	0	1      61.56	    0.97     78.10 	 17.51 
   46	  71.64	     1.31	0	4      77.19	    5.55     78.51 	  6.87 
   47	  73.79	     0.74	0	1      78.10	    4.31     78.83 	  5.05 
   29	  46.41	    32.38	0	0      47.86	    1.45     80.24 	 33.83 
   44	  70.58	    11.75	-1	3      70.58	    0.00     82.33 	 11.75 
   49	  77.41	     3.79	0	1      78.83	    1.42     82.62 	  5.21 
   43	  68.65	    12.62	0	5      70.22	    1.57     82.84 	 14.19 
   50	  81.95	     2.52	-1	0      81.95	    0.00     84.47 	  2.52 
   42	  64.80	    16.99	0	2      68.00	    3.21     84.99 	 20.19 
   48	  75.84	     9.15	0	4      78.51	    2.66     87.66 	 11.81 
   51	  82.12	     8.85	0	3      82.33	    0.21     91.18 	  9.06 
   52	  92.54	     2.87	-1	0      92.54	    0.00     95.41 	  2.87 
   53	  93.48	     2.37	-1	1      93.48	    0.00     95.85 	  2.37 
   57	  98.77	     1.76	-1	3      98.77	    0.00    100.53 	  1.76 
   54	  96.28	     7.20	-1	0      96.28	    0.00    103.48 	  7.20 
   56	  97.99	    10.04	-1	2      97.99	    0.00    108.03 	 10.04 
   59	 105.73	     3.76	-1	3     105.73	    0.00    109.49 	  3.76 
   58	 105.33	     6.72	-1	0     105.33	    0.00    112.05 	  6.72 
   63	 110.38	     2.11	-1	3     110.38	    0.00    112.49 	  2.11 
   65	 112.01	     2.26	0	3     112.49	    0.48    114.75 	  2.74 
   61	 108.81	     6.78	-1	2     108.81	    0.00    115.59 	  6.78 
   60	 107.64	     9.49	-1	4     107.64	    0.00    117.13 	  9.49 
   62	 109.22	    10.75	-1	5     109.22	    0.00    119.97 	 10.75 
   55	  96.95	    24.41	-1	1      96.95	    0.00    121.36 	 24.41 
   64	 110.79	    11.95	0	0     112.05	    1.26    124.00 	 13.21 
   66	 116.61	    13.98	-1	2     116.61	    0.00    130.59 	 13.98 
   69	 129.24	     1.77	-1	3     129.24	    0.00    131.01 	  1.77 
   70	 131.28	     0.35	-1	2     131.28	    0.00    131.63 	  0.35 
   72	 132.20	     0.51	-1	3     132.20	    0.00    132.72 	  0.51 
   75	 134.40	     2.07	-1	5     134.40	    0.00    136.47 	  2.07 
